ep,rwd,lpf
0,0.05401349861036362,0.05401349861036362
1,0.05052942177977897,0.05366509092730516
2,0.06284766839058395,0.05458334867363304
3,0.05506904812820679,0.05463191861909042
4,0.05039115613768317,0.054207842370949694
5,0.024065466012403468,0.05119360473509507
6,0.008209960060559495,0.04689524026764152
7,0.013644470661096798,0.04357016330698704
8,0.04598121194224643,0.04381126817051298
9,0.07499983319867579,0.046930124673329264
10,0.010105585485305824,0.04324767075452692
11,0.4231075878982528,0.08123366246889951
12,0.046279720682766624,0.07773826829028622
13,0.10923469743856255,0.08088791120511386
14,0.0999587240049161,0.08279499248509409
15,0.047031279182171204,0.0792186211548018
16,0.048655575351833666,0.07616231657450498
17,0.03196656491369243,0.07174274140842372
18,0.08796550553214946,0.0733650178207963
19,0.05452689971132916,0.07148120600984958
20,0.04095201940859514,0.06842828734972414
21,0.019836064770323604,0.06356906509178409
22,0.056350714485969,0.06284723003120257
23,0.06189167652850589,0.06275167468093291
24,0.15040525358190884,0.07151703257103051
25,0.03643005203375811,0.06800833451730327
26,0.03831937883447463,0.06503943894902041
27,0.0655415532502392,0.06508965037914229
28,0.009728232942026339,0.05955350863543069
29,0.011930101393534186,0.05479116791124104
30,0.007766409868998281,0.05008869210701677
31,0.05528931029893354,0.05060875392620844
32,0.18286549567606675,0.06383442810119427
33,0.0458605358203247,0.06203703887310732
34,0.04915700375542009,0.0607490353613386
35,0.05225403905058865,0.0598995357302636
36,0.06262562180391687,0.06017214433762893
37,0.08827416669044226,0.06298234657291026
38,0.047021629674163457,0.06138627488303557
39,0.048379862168109786,0.060085633611542996
40,0.016601553417715208,0.055737225592160225
41,0.03198312290425722,0.05336181532336992
42,0.013791856574423278,0.04940481944847526
43,0.04513552742277351,0.048977890245905084
44,0.03707731785356838,0.047787833006671415
45,0.029412510895979162,0.045950300795602195
46,0.10411253484109206,0.05176652420015118
47,0.06813330829894415,0.05340320261003048
48,0.05091872444967631,0.05315475479399506
49,0.008751710600706453,0.0487144503746662
50,0.13564529860862962,0.05740753519806254
51,0.10912801156150369,0.06257958283440665
52,0.041487368905470313,0.06047036144151302
53,0.032052594710592255,0.05762858476842095
